Rk,Name,Position,Indct,First Year,Last Year,AP1,PB,St,CarAV,Games Played,Passes Completed,Passes Attempted,Passing Yards,TD Passes,Longest Pass,Ints,Sacks,Sacked Yards Lost,Rushing Attempts,Rushing Yards,Rushing TDs,Longest Rushing Run,Receptions,Receiving Yards,Receiving TDs,Longest Reception,Year
198,Jim Taylor\TaylJi00,FB,1976,1958,1967,1,5,9,84,129,,,,,,,,,1941,8597,83,84,225,1756,10,41,1962.5
199,Rosey Brown\BrowRo04,T,1975,1953,1965,6,9,13,50,162,,,,,,,,,,,,,,,,,1959
200,George Connor\ConnGe00,T,1975,1948,1955,4,4,7,0,90,,,,,,,,,,,,,5,89,0,25,1951.5
201,Dante Lavelli\LaveDa00,E,1975,1946,1956,0,3,11,0,123,,,,,,,,,2,23,0,14,386,6488,62,72,1951
202,Lenny Moore\MoorLe00,HB,1975,1956,1967,5,7,10,63,143,3,12,33,2,13,2,,,1069,5174,63,79,363,6039,48,82,1961.5
203,Tony Canadeo\CanaTo00,HB,1974,1941,1952,1,0,8,0,116,105,268,1642,16,51,20,,,1025,4197,26,54,69,579,5,46,1946.5
204,Bill George\GeorBi00,LB,1974,1952,1966,8,8,14,59,173,,,,,,,,,,,,,,,,,1959
205,Lou Groza\GrozLo20,T,1974,1946,1967,4,9,19,27,268,1,4,-7,0,0,1,,,,,,,1,23,1,23,1956.5
206,Night Train Lane\LaneDi00,DB,1974,1952,1965,3,7,12,57,157,,,,,,,,,,,,,8,253,1,98,1958.5
207,Raymond Berry\BerrRa00,E,1973,1955,1967,3,6,13,62,154,,,,,,,,,,,,,631,9275,68,70,1961
208,Jim Parker\ParkJi00,T,1973,1957,1967,8,8,10,70,135,,,,,,,,,,,,,,,,,1962
209,Joe Schmidt\SchmJo00,LB,1973,1953,1965,8,10,11,53,155,,,,,,,,,,,,,,,,,1959
210,Gino Marchetti\MarcGi00,DE,1972,1952,1966,7,11,13,56,161,,,,,,,,,,,,,1,36,1,19,1959
211,Ollie Matson\MatsOl00,RB,1972,1952,1966,5,6,9,17,169,5,15,119,0,43,1,,,1170,5173,40,79,222,3285,23,96,1959
212,Ace Parker\ParkAc20,TB,1972,1937,1946,2,0,5,0,68,335,718,4698,30,75,50,,,498,1292,13,60,8,229,3,71,1941.5
213,Jim Brown\BrowJi00,FB,1971,1957,1965,8,9,9,108,118,4,12,117,3,39,0,,,2359,12312,106,80,262,2499,20,83,1961
214,Bill Hewitt\HewiBi20,E,1971,1932,1943,4,0,7,0,101,5,10,63,3,34,0,,,8,36,1,29,103,1638,23,45,1937.5
215,Bruiser Kinard\KinaBr20,T,1971,1938,1947,4,5,8,0,101,,,,,,,,,,,,,5,62,1,36,1942.5
216,Andy Robustelli\RobuAn00,DE,1971,1951,1964,6,7,14,43,175,,,,,,,,,,,,,2,75,1,49,1957.5
217,Y.A. Tittle\TittY.00,QB,1971,1948,1964,3,7,13,44,204,2427,4395,33070,242,80,248,,,372,1245,39,45,1,4,0,4,1956
218,Norm Van Brocklin\VanBNo00,QB,1971,1949,1960,1,9,9,17,140,1553,2895,23611,173,91,178,,,102,40,11,16,,,,,1954.5
219,Jack Christiansen\ChriJa00,DB,1970,1951,1958,6,5,8,0,89,,,,,,,,,19,143,2,65,3,32,0,11,1954.5
220,Tom Fears\FearTo00,E,1970,1948,1956,1,1,6,0,87,,,,,,,,,5,15,0,10,400,5397,38,80,1952
221,Hugh McElhenny\McElHu00,HB,1970,1952,1964,2,6,10,20,143,2,7,13,1,11,1,,,1124,5281,38,89,264,3247,20,77,1958
222,Pete Pihos\PihoPe00,E,1970,1947,1955,5,6,9,0,107,,,,,,,,,9,-4,0,5,373,5619,61,66,1951
223,Turk Edwards\EdwaTu20,T,1969,1932,1940,3,1,7,0,86,,,,,,,,,,,,,,,,,1936
224,Leo Nomellini\NomeLe00,DT,1969,1950,1963,6,10,13,28,174,,,,,,,,,1,5,0,5,,,,,1956.5
225,Joe Perry\PerrJo00,FB,1969,1948,1963,2,3,11,15,181,3,11,79,1,34,0,,,1929,9723,71,78,260,2021,12,70,1955.5
226,Ernie Stautner\StauEr00,DT,1969,1950,1963,1,9,13,25,173,,,,,,,,,,,,,,,,,1956.5
227,Cliff Battles\BattCl20,TB,1968,1932,1937,3,0,5,0,60,44,157,590,1,7,15,,,839,3511,23,75,38,546,4,0,1934.5
228,Art Donovan\DonoAr00,DT,1968,1950,1961,4,5,12,17,138,,,,,,,,,,,,,,,,,1955.5
229,Elroy Hirsch\HirsEl00,E,1968,1946,1957,2,3,9,0,127,12,22,156,1,0,2,,,207,687,3,51,387,7029,60,91,1951.5
230,Wayne Millner\MillWa20,E,1968,1936,1945,0,0,5,0,76,,,,,,,,,14,62,0,8,124,1578,12,78,1940.5
231,Marion Motley\MotlMa00,FB,1968,1946,1955,2,1,7,0,106,0,3,0,0,0,0,,,828,4720,31,76,85,1107,7,78,1950.5
232,Charley Trippi\TripCh00,HB,1968,1947,1955,1,2,7,0,99,205,434,2547,16,80,31,,,687,3506,23,59,130,1321,11,62,1951
233,Alex Wojciechowicz\WojcAl20,C,1968,1938,1950,0,0,6,0,134,,,,,,,,,,,,,4,44,0,13,1944
234,Chuck Bednarik\BednCh00,LB,1967,1949,1962,5,8,14,21,169,,,,,,,,,,,,,,,,,1955.5
235,Bobby Layne\LaynBo00,QB,1967,1948,1962,2,6,13,20,175,1814,3700,26768,196,97,243,,,611,2451,25,36,,,,,1955
236,Ken Strong\StroKe20,FB,1967,1929,1947,3,0,8,0,131,20,52,380,6,0,5,,,379,1228,24,2,22,254,7,0,1938
237,Joe Stydahar\StydJo20,T,1967,1936,1946,4,4,5,0,84,,,,,,,,,,,,,1,9,0,9,1941
238,Emlen Tunnell\TunnEm00,DB,1967,1948,1961,4,9,10,8,167,1,2,23,0,23,0,,,17,43,0,15,5,39,0,14,1954.5
239,Bill Dudley\DudlBi00,HB,1966,1942,1953,1,3,8,0,90,81,222,985,6,38,17,,,765,3057,18,66,123,1383,18,80,1947.5
240,Joe Guyon\GuyoJo20,WB,1966,1920,1927,0,0,3,0,46,,,,,,,,,0,0,7,0,0,0,1,0,1923.5
241,Arnie Herber\HerbAr20,TB,1966,1930,1945,1,1,7,0,129,481,1175,8041,81,92,106,,,250,116,3,1,11,155,3,25,1937.5
242,Walt Kiesling\KiesWa20,G,1966,1926,1938,1,0,7,0,125,,,,,,,,,,,,,,,,,1932
243,George McAfee\McAfGe20,HB,1966,1940,1950,1,1,4,0,75,6,22,94,3,44,1,,,341,1685,21,70,85,1359,11,65,1945
244,Bulldog Turner\TurnBu21,C,1966,1940,1952,7,4,12,0,138,,,,,,,,,1,48,1,48,1,2,0,2,1946
245,Paddy Driscoll\DrisPa20,HB,1965,1920,1929,6,0,9,0,118,,,,,,,,,0,0,25,0,0,0,4,0,1924.5
246,Danny Fortmann\FortDa20,G,1965,1936,1943,6,3,8,0,86,,,,,,,,,,,,,,,,,1939.5
247,Otto Graham\GrahOt00,QB,1965,1946,1955,7,5,10,0,126,1464,2626,23584,174,99,135,,,405,882,44,36,,,,,1950.5
248,Sid Luckman\LuckSi00,QB,1965,1939,1950,5,3,10,0,128,904,1744,14686,137,86,132,,,204,-239,4,40,1,15,0,15,1944.5
249,Steve Van Buren\VanBSt00,HB,1965,1944,1951,5,0,8,0,83,1,3,35,0,35,0,,,1320,5860,69,70,45,523,3,50,1947.5
250,Bob Waterfield\WateBo01,QB,1965,1945,1952,3,2,6,0,91,814,1617,11849,97,91,128,,,75,21,13,25,3,19,0,18,1948.5
251,Ed Healey\HealEd20,T,1964,1920,1927,4,0,7,0,88,,,,,,,,,,,,,,,,,1923.5
252,Clarke Hinkle\HinkCl20,FB,1964,1932,1941,4,3,9,0,113,26,54,316,0,23,5,,,1171,3860,35,57,49,537,9,69,1936.5
253,Link Lyman\LymaLi20,T,1964,1922,1934,2,0,10,0,133,,,,,,,,,,,,,0,0,2,0,1928
254,Mike Michalske\MichMi20,G,1964,1927,1937,5,0,9,0,122,,,,,,,,,,,,,,,,,1932
255,George Trafton\TrafGe20,C,1964,1920,1932,2,0,9,0,148,,,,,,,,,,,,,,,,,1926
256,Sammy Baugh\BaugSa00,QB,1963,1937,1952,4,6,13,0,165,1693,2995,21886,187,86,203,,,324,325,9,41,1,0,0,0,1944.5
257,Johnny Blood\BlooJo20,TB,1963,1925,1938,0,0,8,0,137,24,70,299,4,0,5,,,120,386,5,0,67,1117,37,70,1931.5
258,Dutch Clark\ClarDu20,TB,1963,1931,1938,6,0,5,0,75,114,250,1507,11,0,26,,,606,2772,36,0,28,341,6,23,1934.5
259,Red Grange\GranRe20,HB,1963,1925,1934,2,0,2,0,96,24,71,346,10,0,10,,,170,569,21,0,16,288,10,36,1929.5
260,Mel Hein\HeinMe20,C,1963,1931,1945,5,4,15,0,170,0,1,0,0,0,0,,,1,1,0,1,2,20,0,13,1938
261,Pete Henry\HenrPe20,T,1963,1920,1928,4,0,7,0,86,,,,,,,,,,,,,0,0,1,0,1924
262,Cal Hubbard\HubbCa20,T,1963,1927,1936,4,0,6,0,105,,,,,,,,,,,,,0,0,1,0,1931.5
263,Don Hutson\HutsDo00,E,1963,1935,1945,8,4,8,0,116,1,11,38,1,38,2,,,62,284,3,27,488,7991,99,92,1940
264,Bronko Nagurski\NaguBr00,FB,1963,1930,1943,4,0,7,0,97,32,77,474,7,35,9,,,633,2778,25,11,11,134,0,23,1936.5
265,Ernie Nevers\NeveEr20,FB,1963,1926,1931,5,0,5,0,54,,,,,,,,,0,0,38,0,,,,,1928.5
266,Jim Thorpe\ThorJi20,TB,1963,1920,1928,1,0,3,0,52,,,,,,,,,0,0,6,0,,,,,1924
