Rk,Name,Position,Indct,First Year,Last Year,AP1,PB,St,CarAV,Games Played,Passes Completed,Passes Attempted,Passing Yards,TD Passes,Longest Pass,Ints,Sacks,Sacked Yards Lost,Rushing Attempts,Rushing Yards,Rushing TDs,Longest Rushing Run,Receptions,Receiving Yards,Receiving TDs,Longest Reception,Year
22,Walter Jones\JoneWa00,T,2014,1997,2008,4,9,11,97,180,,,,,,,,,,,,,,,,,2002.5
23,Andre Reed\ReedAn00,WR,2014,1985,2000,0,7,14,98,234,1,1,32,0,32,0,1,20,75,500,1,46,951,13198,87,83,1992.5
24,Michael Strahan\StraMi02,DE,2014,1993,2007,4,7,14,121,216,,,,,,,,,,,,,,,,,2000
25,Aeneas Williams\WillAe00,DB,2014,1991,2004,3,8,13,104,211,,,,,,,,,,,,,,,,,1997.5
26,Larry Allen\AlleLa00,G,2013,1994,2007,6,11,13,99,203,,,,,,,,,,,,,0,0,0,0,2000.5
27,Cris Carter\CartCr00,WR,2013,1987,2002,2,8,13,98,234,0,1,0,0,0,0,0,0,13,41,0,11,1101,13899,130,80,1994.5
28,Curley Culp\CulpCu00,DT,2013,1968,1981,1,6,11,76,179,,,,,,,,,,,,,,,,,1974.5
29,Jonathan Ogden\OgdeJo00,T,2013,1996,2007,4,11,11,94,177,,,,,,,,,,,,,2,2,2,1,2001.5
30,Dave Robinson\RobiDa00,LB,2013,1963,1974,1,3,10,81,155,,,,,,,,,,,,,,,,,1968.5
31,Warren Sapp\SappWa00,DT,2013,1995,2007,4,7,12,120,198,,,,,,,,,,,,,4,39,2,18,2001
32,Jack Butler\ButlJa00,DB,2012,1951,1959,3,4,8,0,103,,,,,,,,,,,,,7,102,4,33,1955
33,Dermontti Dawson\DawsDe00,C,2012,1988,2000,6,7,10,98,184,,,,,,,,,,,,,,,,,1994
34,Chris Doleman\DoleCh00,DE,2012,1985,1999,2,8,13,114,232,,,,,,,,,,,,,,,,,1992
35,Cortez Kennedy\KennCo00,DT,2012,1990,2000,3,8,8,101,167,,,,,,,,,,,,,,,,,1995
36,Curtis Martin\MartCu00,RB,2012,1995,2005,1,5,11,101,168,2,2,36,2,18,0,1,4,3518,14101,90,70,484,3329,10,41,2000
37,Willie Roaf\RoafWi00,T,2012,1993,2005,3,11,12,107,189,,,,,,,,,,,,,,,,,1999
38,Richard Dent\DentRi00,DE,2011,1983,1997,1,4,10,96,203,,,,,,,,,,,,,,,,,1990
39,Marshall Faulk\FaulMa00,RB,2011,1994,2005,3,7,11,133,176,0,2,0,0,0,0,0,0,2836,12279,100,71,767,6875,36,85,1999.5
40,Chris Hanburger\HanbCh00,LB,2011,1965,1978,4,9,12,96,187,,,,,,,,,,,,,1,1,0,1,1971.5
41,Les Richter\RichLe00,LB,2011,1954,1962,1,8,7,18,112,,,,,,,,,0,8,0,8,,,,,1958
42,Deion Sanders\SandDe00,DB,2011,1989,2005,6,8,12,117,188,0,2,0,0,0,0,0,0,9,-14,0,8,60,784,3,70,1997
43,Shannon Sharpe\SharSh00,TE,2011,1990,2003,4,8,12,80,204,,,,,,,,,3,9,0,15,815,10060,62,82,1996.5
44,Russ Grimm\GrimRu00,G,2010,1981,1991,3,4,9,76,140,,,,,,,,,,,,,,,,,1986
45,Rickey Jackson\JackRi01,LB,2010,1981,1995,0,6,15,113,227,,,,,,,,,,,,,,,,,1988
